Porter,Original,Lancaster,Snowball
heavenli,['heavenly'],['heav'],['heaven']
heavenward,['heavenward'],['heavenward'],['heavenward']
heaver,['heavers'],['heav'],['heaver']
heavi,"['heaviness', 'heavy']","['heavy', 'heavy']","['heavi', 'heavi']"
heavier,['heavier'],['heavy'],['heavier']
heaviest,['heaviest'],['heaviest'],['heaviest']
heavili,['heavily'],['heavy'],['heavili']
hebephren,['hebephrenic'],['hebephr'],['hebephren']
hebraic,['hebraic'],['hebra'],['hebraic']
hebrew,"['hebrews', 'hebrew']","['hebrew', 'hebrew']","['hebrew', 'hebrew']"
hecatomb,['hecatomb'],['hecatomb'],['hecatomb']
heck,['heck'],['heck'],['heck']
heckman,['heckman'],['heckm'],['heckman']
hectic,['hectic'],['hect'],['hectic']
hector,"['hector', 'hectors']","['hect', 'hect']","['hector', 'hector']"
hed,['hed'],['hed'],['hed']
hedda,['hedda'],['hedd'],['hedda']
hedg,"['hedged', 'hedge', 'hedges']","['hedg', 'hedg', 'hedg']","['hedg', 'hedg', 'hedg']"
hedison,['hedison'],['hedison'],['hedison']
hedon,['hedonism'],['hedon'],['hedon']
hedonist,['hedonistic'],['hedon'],['hedonist']
hee,['hee'],['hee'],['hee']
heed,"['heeded', 'heed']","['hee', 'hee']","['heed', 'heed']"
heedless,['heedless'],['heedless'],['heedless']
heel,"['heeled', 'heel', 'heels']","['heel', 'heel', 'heel']","['heel', 'heel', 'heel']"
heeler,['heelers'],['heel'],['heeler']
heenan,['heenan'],['heen'],['heenan']
heffer,['heffer'],['heff'],['heffer']
heffernan,['heffernan'],['heffern'],['heffernan']
heft,['hefted'],['heft'],['heft']
hefti,['hefty'],['hefty'],['hefti']
hegel,"['hegel', 'hegels']","['hegel', 'hegel']","['hegel', 'hegel']"
hegelian,['hegelian'],['hegel'],['hegelian']
hegemoni,['hegemony'],['hegemony'],['hegemoni']
heidegg,"['heidegger', 'heideggers']","['heideg', 'heideg']","['heidegg', 'heidegg']"
heidelberg,['heidelberg'],['heidelberg'],['heidelberg']
heideman,['heideman'],['heidem'],['heideman']
heidenstam,"['heidenstam', 'heidenstams']","['heidenstam', 'heidenstam']","['heidenstam', 'heidenstam']"
heigh,['heigh'],['heigh'],['heigh']
height,"['heights', 'height']","['height', 'height']","['height', 'height']"
heighten,"['heightened', 'heightening', 'heighten']","['height', 'height', 'height']","['heighten', 'heighten', 'heighten']"
heilman,['heilman'],['heilm'],['heilman']
hein,['heine'],['hein'],['hein']
heinkel,['heinkel'],['heinkel'],['heinkel']
heinz,"['heinze', 'heinzes']","['heinz', 'heinz']","['heinz', 'heinz']"
heir,"['heir', 'heirs']","['heir', 'heir']","['heir', 'heir']"
heiress,['heiress'],['heiress'],['heiress']
heiser,['heiser'],['heis'],['heiser']
heist,['heisted'],['heist'],['heist']
heitschmidt,['heitschmidt'],['heitschmidt'],['heitschmidt']
hel,['hel'],['hel'],['hel']
held,['held'],['held'],['held']
helen,"['helene', 'helen']","['hel', 'hel']","['helen', 'helen']"
helena,['helena'],['helen'],['helena']
helicopt,['helicopter'],['helicopt'],['helicopt']
heliocentr,['heliocentric'],['helioc'],['heliocentr']
helion,"['helion', 'helions']","['hel', 'hel']","['helion', 'helion']"
heliopoli,['heliopolis'],['heliopol'],['heliopoli']
heliotrop,['heliotrope'],['heliotrop'],['heliotrop']
helium,['helium'],['hel'],['helium']
hell,"['hell', 'hells']","['hel', 'hel']","['hell', 'hell']"
hellen,['hellenic'],['hel'],['hellen']
hellfir,['hellfire'],['hellfir'],['hellfir']
hello,['hello'],['hello'],['hello']
helluva,['helluva'],['helluv'],['helluva']
helm,['helm'],['helm'],['helm']
helmet,"['helmets', 'helmet']","['helmet', 'helmet']","['helmet', 'helmet']"
helmsman,['helmsman'],['helmsm'],['helmsman']
helmut,['helmut'],['helmut'],['helmut']
helois,['heloise'],['helo'],['helois']
help,"['helped', 'helping', 'helpful', 'help', 'helps', 'helpfulness', 'helpfully']","['help', 'help', 'help', 'help', 'help', 'help', 'help']","['help', 'help', 'help', 'help', 'help', 'help', 'help']"
helper,"['helper', 'helpers']","['help', 'help']","['helper', 'helper']"
helpless,"['helpless', 'helplessness']","['helpless', 'helpless']","['helpless', 'helpless']"
helplessli,['helplessly'],['helpless'],['helpless']
helpmat,['helpmate'],['helpm'],['helpmat']
helsqiyokom,['helsqiyokom'],['helsqiyokom'],['helsqiyokom']
helva,"['helva', 'helvas']","['helv', 'helva']","['helva', 'helva']"
hem,"['hemmed', 'hemming', 'hem']","['hem', 'hem', 'hem']","['hem', 'hem', 'hem']"
hemenway,['hemenways'],['hemenway'],['hemenway']
hemingway,"['hemingways', 'hemingway']","['hemingway', 'hemingway']","['hemingway', 'hemingway']"
hemispher,"['hemisphere', 'hemispherical', 'hemispheres']","['hemisph', 'hemisph', 'hemisph']","['hemispher', 'hemispher', 'hemispher']"
hemlock,['hemlocks'],['hemlock'],['hemlock']
hemoglobin,['hemoglobin'],['hemoglobin'],['hemoglobin']
hemolyt,['hemolytic'],['hemolys'],['hemolyt']
hemorrhag,"['hemorrhage', 'hemorrhaging', 'hemorrhages']","['hemorrh', 'hemorrh', 'hemorrh']","['hemorrhag', 'hemorrhag', 'hemorrhag']"
hemorrhoid,['hemorrhoids'],['hemorrhoid'],['hemorrhoid']
hemosiderin,['hemosiderin'],['hemosiderin'],['hemosiderin']
hempel,['hempel'],['hempel'],['hempel']
hemphil,['hemphill'],['hemphil'],['hemphil']
hempstead,['hempstead'],['hempstead'],['hempstead']
hemu,['hemus'],['hem'],['hemus']
hen,"['hen', 'hens']","['hen', 'hen']","['hen', 'hen']"
henc,['hence'],['hent'],['henc']
henceforth,['henceforth'],['hencefor'],['henceforth']
henchman,['henchman'],['henchm'],['henchman']
henchmen,['henchmen'],['henchm'],['henchmen']
henderson,['henderson'],['henderson'],['henderson']
hendl,['hendl'],['hendl'],['hendl']
hendri,['hendry'],['hendry'],['hendri']
hendrick,['hendricks'],['hendrick'],['hendrick']
hendrik,['hendrik'],['hendrik'],['hendrik']
heng,['heng'],['heng'],['heng']
hengesbach,['hengesbach'],['hengesbach'],['hengesbach']
henh,['henh'],['henh'],['henh']
henley,['henleys'],['henley'],['henley']
henpeck,['henpecked'],['henpeck'],['henpeck']
henri,"['henri', 'henris', 'henrys', 'henry']","['henr', 'henr', 'henry', 'henry']","['henri', 'henri', 'henri', 'henri']"
henrietta,"['henrietta', 'henriettas']","['henriett', 'henrietta']","['henrietta', 'henrietta']"
henrik,['henrik'],['henrik'],['henrik']
heorot,['heorot'],['heorot'],['heorot']
hepat,['hepatitis'],['hepatit'],['hepat']
hephzibah,['hephzibah'],['hephzibah'],['hephzibah']
hepker,['hepker'],['hepk'],['hepker']
heptachlor,['heptachlor'],['heptachl'],['heptachlor']
her,['herring'],['her'],['herring']
heraclitu,['heraclitus'],['heraclit'],['heraclitus']
herald,"['heralded', 'herald']","['herald', 'herald']","['herald', 'herald']"
herb,"['herb', 'herbs']","['herb', 'herb']","['herb', 'herb']"
herberet,"['herberets', 'herberet']","['herberet', 'herberet']","['herberet', 'herberet']"
herbert,['herbert'],['herbert'],['herbert']
hercul,"['hercule', 'hercules']","['herc', 'herc']","['hercul', 'hercul']"
herculean,['herculean'],['herc'],['herculean']
herd,"['herded', 'herd', 'herding', 'herds']","['herd', 'herd', 'herd', 'herd']","['herd', 'herd', 'herd', 'herd']"
herdin,['herdin'],['herdin'],['herdin']
here,['heres'],['her'],['here']
hereabout,['hereabouts'],['hereabout'],['hereabout']
hereaft,['hereafter'],['hereaft'],['hereaft']
herebi,['hereby'],['hereby'],['herebi']
hered,['heredity'],['her'],['hered']
hereditari,['hereditary'],['heredit'],['hereditari']
hereford,['hereford'],['hereford'],['hereford']
herein,['herein'],['herein'],['herein']
hereinaft,['hereinafter'],['hereinaft'],['hereinaft']
heresi,['heresy'],['heresy'],['heresi']
heret,"['heretic', 'heretics']","['heret', 'heret']","['heret', 'heret']"
heretofor,['heretofore'],['heretof'],['heretofor']
hereunto,['hereunto'],['hereunto'],['hereunto']
herewith,['herewith'],['herewi'],['herewith']
herford,"['herford', 'herfords']","['herford', 'herford']","['herford', 'herford']"
hergesheim,['hergesheimer'],['hergesheim'],['hergesheim']
heritag,"['heritage', 'heritages']","['herit', 'herit']","['heritag', 'heritag']"
herman,"['herman', 'hermans']","['herm', 'herm']","['herman', 'herman']"
hermanovski,['hermanovski'],['hermanovsk'],['hermanovski']
hermeneut,['hermeneutics'],['hermeneut'],['hermeneut']
hermet,['hermetic'],['hermet'],['hermet']
hernandez,['hernandez'],['hernandez'],['hernandez']
hero,"['hero', 'heroes', 'heros']","['hero', 'hero', 'hero']","['hero', 'hero', 'hero']"
heroic,"['heroic', 'heroics', 'heroically']","['hero', 'hero', 'hero']","['heroic', 'heroic', 'heroic']"
heroin,"['heroine', 'heroin']","['heroin', 'heroin']","['heroin', 'heroin']"
heroism,['heroism'],['hero'],['heroism']
herold,['herold'],['herold'],['herold']
heron,"['heron', 'herons']","['heron', 'heron']","['heron', 'heron']"
herpetolog,['herpetology'],['herpetolog'],['herpetolog']
herpetologist,"['herpetologists', 'herpetologist']","['herpetolog', 'herpetolog']","['herpetologist', 'herpetologist']"
herr,['herr'],['her'],['herr']
herri,"['herrys', 'herry']","['herry', 'herry']","['herri', 'herri']"
herrick,['herrick'],['herrick'],['herrick']
herridg,['herridge'],['herridg'],['herridg']
herrin,['herrin'],['herrin'],['herrin']
herringbon,['herringbone'],['herringbon'],['herringbon']
herrington,['herrington'],['herrington'],['herrington']
herrmann,['herrmann'],['herrman'],['herrmann']
hersey,['hersey'],['hersey'],['hersey']
hershel,['hershel'],['hershel'],['hershel']
hershey,['hersheys'],['hershey'],['hershey']
herter,['herter'],['hert'],['herter']
hertz,['hertz'],['hertz'],['hertz']
herzfeld,['herzfeld'],['herzfeld'],['herzfeld']
herzog,['herzog'],['herzog'],['herzog']
hesiomet,['hesiometer'],['hesiomet'],['hesiomet']
hesit,"['hesitated', 'hesitance', 'hesitate', 'hesitating', 'hesitation', 'hesitates', 'hesitant', 'hesitancy']","['hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit']","['hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit', 'hesit']"
hesitantli,['hesitantly'],['hesit'],['hesit']
hesitatingli,['hesitatingly'],['hesit'],['hesit']
hesperu,['hesperus'],['hesper'],['hesperus']
hess,['hess'],['hess'],['hess']
hessian,"['hessian', 'hessians']","['hess', 'hess']","['hessian', 'hessian']"
hester,['hester'],['hest'],['hester']
heterogam,['heterogamous'],['heterogam'],['heterogam']
heterogen,['heterogeneous'],['heterog'],['heterogen']
heterozyg,['heterozygous'],['heterozyg'],['heterozyg']
hetman,"['hetman', 'hetmans']","['hetm', 'hetm']","['hetman', 'hetman']"
hetti,"['hettie', 'hettys', 'hetty']","['hetty', 'hetty', 'hetty']","['hetti', 'hetti', 'hetti']"
heusen,['heusen'],['heus'],['heusen']
heut,['heute'],['heut'],['heut']
heuvelman,['heuvelmans'],['heuvelm'],['heuvelman']
hev,['hev'],['hev'],['hev']
hevin,['hevin'],['hevin'],['hevin']
hew,['hewed'],['hew'],['hew']
hewett,['hewett'],['hewet'],['hewett']
hewlett,['hewlett'],['hewlet'],['hewlett']
hewlitt,['hewlitt'],['hewlit'],['hewlitt']
hewn,['hewn'],['hewn'],['hewn']
hex,['hex'],['hex'],['hex']
hexagon,"['hexagonal', 'hexagon']","['hexagon', 'hexagon']","['hexagon', 'hexagon']"
hexamet,['hexameter'],['hexamet'],['hexamet']
hexametaphosph,['hexametaphosphate'],['hexametaphosph'],['hexametaphosph']
hexen,['hexen'],['hex'],['hexen']
hey,['hey'],['hey'],['hey']
heyday,['heyday'],['heyday'],['heyday']
heydrich,['heydrich'],['heydrich'],['heydrich']
heywood,['heywood'],['heywood'],['heywood']
hez,['hez'],['hez'],['hez']
hi,['hi'],['hi'],['hi']
hiawatha,['hiawatha'],['hiawath'],['hiawatha']
hibachi,['hibachi'],['hibach'],['hibachi']
hibern,['hibernate'],['hibern'],['hibern']
hiccup,['hiccups'],['hiccup'],['hiccup']
hick,"['hick', 'hicks']","['hick', 'hick']","['hick', 'hick']"
hickok,['hickok'],['hickok'],['hickok']
hickori,['hickory'],['hick'],['hickori']
hid,['hid'],['hid'],['hid']
hidden,['hidden'],['hid'],['hidden']
hide,"['hide', 'hiding', 'hides']","['hid', 'hid', 'hid']","['hide', 'hide', 'hide']"
hideaway,['hideaway'],['hideaway'],['hideaway']
hideou,['hideous'],['hid'],['hideous']
hideous,['hideously'],['hid'],['hideous']
hideout,['hideout'],['hideout'],['hideout']
hierarchi,"['hierarchies', 'hierarchy']","['hierarchy', 'hierarchy']","['hierarchi', 'hierarchi']"
hieronymu,['hieronymus'],['hieronym'],['hieronymus']
hifalutin,['hifalutin'],['hifalutin'],['hifalutin']
high,"['high', 'highs', 'highness']","['high', 'high', 'high']","['high', 'high', 'high']"
highbal,['highball'],['highbal'],['highbal']
highboard,['highboard'],['highboard'],['highboard']
highboy,['highboy'],['highboy'],['highboy']
higher,['higher'],['high'],['higher']
highest,['highest'],['highest'],['highest']
highfield,['highfield'],['highfield'],['highfield']
highland,"['highland', 'highlands']","['highland', 'highland']","['highland', 'highland']"
highli,['highly'],['high'],['high']
highlight,"['highlighting', 'highlights', 'highlight']","['highlight', 'highlight', 'highlight']","['highlight', 'highlight', 'highlight']"
highpoint,['highpoint'],['highpoint'],['highpoint']
highroad,['highroad'],['highroad'],['highroad']
highschool,['highschool'],['highschool'],['highschool']
highway,"['highways', 'highway']","['highway', 'highway']","['highway', 'highway']"
highwayman,['highwayman'],['highwaym'],['highwayman']
hijack,"['hijacked', 'hijacking', 'hijackers']","['hijack', 'hijack', 'hijack']","['hijack', 'hijack', 'hijack']"
hike,"['hiked', 'hike', 'hiking', 'hikes']","['hik', 'hik', 'hik', 'hik']","['hike', 'hike', 'hike', 'hike']"
hilar,"['hilar', 'hilarity']","['hil', 'hil']","['hilar', 'hilar']"
hilari,"['hilarious', 'hilariously']","['hil', 'hil']","['hilari', 'hilari']"
hildi,['hildy'],['hildy'],['hildi']
hill,"['hill', 'hills']","['hil', 'hil']","['hill', 'hill']"
hillari,['hillary'],['hil'],['hillari']
hillbilli,['hillbilly'],['hillbl'],['hillbilli']
hillcrest,['hillcrest'],['hillcrest'],['hillcrest']
hillel,['hillel'],['hillel'],['hillel']
hilliard,['hilliard'],['hilliard'],['hilliard']
hillman,"['hillman', 'hillmans']","['hillm', 'hillm']","['hillman', 'hillman']"
hillsboro,['hillsboro'],['hillsboro'],['hillsboro']
hillsdal,['hillsdale'],['hillsd'],['hillsdal']
hillsid,['hillside'],['hillsid'],['hillsid']
hilltop,['hilltops'],['hilltop'],['hilltop']
hillyer,['hillyer'],['hil'],['hillyer']
hilo,['hilo'],['hilo'],['hilo']
hilprecht,"['hilprechts', 'hilprecht']","['hilprecht', 'hilprecht']","['hilprecht', 'hilprecht']"
hilt,['hilt'],['hilt'],['hilt']
hilton,['hilton'],['hilton'],['hilton']
hilum,['hilum'],['hil'],['hilum']
himalaya,['himalayas'],['himalaya'],['himalaya']
himmler,['himmler'],['himml'],['himmler']
himself,['himselfe'],['himself'],['himself']
hinckley,['hinckley'],['hinckley'],['hinckley']
hind,['hind'],['hind'],['hind']
hindemith,['hindemiths'],['hindemith'],['hindemith']
hinder,"['hindered', 'hindering', 'hinders']","['hind', 'hind', 'hind']","['hinder', 'hinder', 'hinder']"
hindmost,['hindmost'],['hindmost'],['hindmost']
hindoo,['hindoo'],['hindoo'],['hindoo']
hindquart,['hindquarters'],['hindquart'],['hindquart']
hindranc,['hindrances'],['hindr'],['hindranc']
hindsight,['hindsight'],['hindsight'],['hindsight']
hindu,"['hindus', 'hindu']","['hind', 'hindu']","['hindus', 'hindu']"
hinduism,['hinduism'],['hindu'],['hinduism']
hing,"['hinged', 'hinge', 'hinges']","['hing', 'hing', 'hing']","['hing', 'hing', 'hing']"
hinkl,['hinkle'],['hinkl'],['hinkl']
hino,"['hino', 'hinos']","['hino', 'hino']","['hino', 'hino']"
hinsdal,['hinsdale'],['hinsd'],['hinsdal']
hint,"['hinted', 'hinting', 'hints', 'hint']","['hint', 'hint', 'hint', 'hint']","['hint', 'hint', 'hint', 'hint']"
hinterland,['hinterlands'],['hinterland'],['hinterland']
hinton,['hinton'],['hinton'],['hinton']
hip,"['hip', 'hips']","['hip', 'hip']","['hip', 'hip']"
hiplin,['hipline'],['hiplin'],['hiplin']
hippodrom,['hippodrome'],['hippodrom'],['hippodrom']
hipster,['hipster'],['hipst'],['hipster']
hir,['hir'],['hir'],['hir']
hiram,['hiram'],['hiram'],['hiram']
hire,"['hired', 'hire', 'hiring', 'hires']","['hir', 'hir', 'hir', 'hir']","['hire', 'hire', 'hire', 'hire']"
hirel,['hirelings'],['hirel'],['hirel']
hirey,"['hireys', 'hirey']","['hirey', 'hirey']","['hirey', 'hirey']"
hiroshima,['hiroshima'],['hiroshim'],['hiroshima']
hirsch,"['hirsch', 'hirschs']","['hirsch', 'hirsch']","['hirsch', 'hirsch']"
hirschey,['hirschey'],['hirschey'],['hirschey']
hiss,"['hissed', 'hissing', 'hiss']","['hiss', 'hiss', 'hiss']","['hiss', 'hiss', 'hiss']"
hisself,['hisself'],['hisself'],['hisself']
histochem,['histochemical'],['histochem'],['histochem']
histochemistri,['histochemistry'],['histochem'],['histochemistri']
histolog,['histology'],['histolog'],['histolog']
histor,"['historic', 'historical', 'historically', 'historicity']","['hist', 'hist', 'hist', 'hist']","['histor', 'histor', 'histor', 'histor']"
histori,"['histories', 'history']","['hist', 'hist']","['histori', 'histori']"
historian,"['historian', 'historians']","['hist', 'hist']","['historian', 'historian']"
historic,['historicism'],['hist'],['historic']
historiographi,['historiography'],['historiograph'],['historiographi']
histrion,['histrionics'],['hist'],['histrion']
hit,"['hitting', 'hits', 'hit']","['hit', 'hit', 'hit']","['hit', 'hit', 'hit']"
hitch,"['hitched', 'hitching', 'hitch']","['hitch', 'hitch', 'hitch']","['hitch', 'hitch', 'hitch']"
hitchcock,['hitchcock'],['hitchcock'],['hitchcock']
hither,['hither'],['hith'],['hither']
hitherto,['hitherto'],['hitherto'],['hitherto']
hitler,"['hitler', 'hitlers']","['hitl', 'hitl']","['hitler', 'hitler']"
hitless,['hitless'],['hitless'],['hitless']
hitter,"['hitter', 'hitters']","['hit', 'hit']","['hitter', 'hitter']"
hive,['hive'],['hiv'],['hive']
hl,['hl'],['hl'],['hl']
hm,"['hm', 'hms']","['hm', 'hms']","['hm', 'hms']"
hmm,['hmm'],['hmm'],['hmm']
hmpf,['hmpf'],['hmpf'],['hmpf']
ho,['ho'],['ho'],['ho']
hoa,['hoa'],['hoa'],['hoa']
hoag,"['hoag', 'hoags']","['hoag', 'hoag']","['hoag', 'hoag']"
hoagi,['hoagy'],['hoagy'],['hoagi']
hoak,['hoak'],['hoak'],['hoak']
hoap,['hoaps'],['hoap'],['hoap']
hoars,"['hoarse', 'hoarseness', 'hoarsely']","['hoars', 'hoars', 'hoars']","['hoars', 'hoars', 'hoars']"
hoax,['hoaxes'],['hoax'],['hoax']
hob,"['hob', 'hobbing']","['hob', 'hob']","['hob', 'hob']"
hobart,['hobart'],['hobart'],['hobart']
hobb,['hobbes'],['hob'],['hobb']
hobbi,"['hobbies', 'hobby']","['hobby', 'hobby']","['hobbi', 'hobbi']"
hobbl,"['hobbled', 'hobble']","['hobbl', 'hobbl']","['hobbl', 'hobbl']"
hobday,['hobday'],['hobday'],['hobday']
hobo,['hobo'],['hobo'],['hobo']
hoc,['hoc'],['hoc'],['hoc']
hock,"['hocking', 'hocks']","['hock', 'hock']","['hock', 'hock']"
hockaday,['hockaday'],['hockaday'],['hockaday']
hockett,['hockett'],['hocket'],['hockett']
hockey,['hockey'],['hockey'],['hockey']
hodg,"['hodge', 'hodges']","['hodg', 'hodg']","['hodg', 'hodg']"
hodgepodg,['hodgepodge'],['hodgepodg'],['hodgepodg']
hodgkin,['hodgkin'],['hodgkin'],['hodgkin']
hodosh,['hodosh'],['hodosh'],['hodosh']
hoe,"['hoe', 'hoes']","['hoe', 'hoe']","['hoe', 'hoe']"
hoev,['hoeve'],['hoev'],['hoev']
hoffa,['hoffa'],['hoff'],['hoffa']
hoffer,['hoffer'],['hoff'],['hoffer']
hoffman,['hoffman'],['hoffm'],['hoffman']
hog,"['hogging', 'hog', 'hogs']","['hog', 'hog', 'hog']","['hog', 'hog', 'hog']"
hogan,"['hogan', 'hogans']","['hog', 'hog']","['hogan', 'hogan']"
hoge,['hoges'],['hog'],['hoge']
hohlbein,['hohlbein'],['hohlbein'],['hohlbein']
hoi,['hoi'],['hoi'],['hoi']
hoijer,"['hoijer', 'hoijers']","['hoid', 'hoid']","['hoijer', 'hoijer']"
hoist,"['hoisted', 'hoist']","['hoist', 'hoist']","['hoist', 'hoist']"
hokan,['hokan'],['hok'],['hokan']
holabird,['holabird'],['holabird'],['holabird']
holbrook,['holbrook'],['holbrook'],['holbrook']
hold,"['hold', 'holding', 'holds', 'holdings']","['hold', 'hold', 'hold', 'hold']","['hold', 'hold', 'hold', 'hold']"
holden,"['holden', 'holdens']","['hold', 'hold']","['holden', 'holden']"
holder,"['holder', 'holders']","['hold', 'hold']","['holder', 'holder']"
holderlin,['holderlin'],['holderlin'],['holderlin']
holdin,['holdin'],['holdin'],['holdin']
holdov,['holdovers'],['holdov'],['holdov']
holdup,"['holdup', 'holdups']","['holdup', 'holdup']","['holdup', 'holdup']"
hole,"['holed', 'hole', 'holes']","['hol', 'hol', 'hol']","['hole', 'hole', 'hole']"
holi,"['holies', 'holiness', 'holy']","['holy', 'holy', 'holy']","['holi', 'holi', 'holi']"
holiday,"['holidays', 'holiday']","['holiday', 'holiday']","['holiday', 'holiday']"
holier,['holier'],['holy'],['holier']
holland,"['holland', 'hollander']","['holland', 'holland']","['holland', 'holland']"
holler,"['hollered', 'hollering']","['hol', 'hol']","['holler', 'holler']"
holley,['holley'],['holley'],['holley']
hollingshead,['hollingshead'],['hollingshead'],['hollingshead']
hollow,"['hollowness', 'hollows', 'hollow']","['hollow', 'hollow', 'hollow']","['hollow', 'hollow', 'hollow']"
holloway,['holloway'],['holloway'],['holloway']
hollowel,['hollowell'],['hollowel'],['hollowel']
hollowwar,['hollowware'],['holloww'],['hollowwar']
hollyhock,"['hollyhock', 'hollyhocks']","['hollyhock', 'hollyhock']","['hollyhock', 'hollyhock']"
hollywood,"['hollywood', 'hollywoods']","['hollywood', 'hollywood']","['hollywood', 'hollywood']"
holm,['holmes'],['holm'],['holm']
holman,['holman'],['holm'],['holman']
holocaust,['holocaust'],['holocaust'],['holocaust']
holor,['holored'],['hol'],['holor']
holstein,['holstein'],['holstein'],['holstein']
holster,"['holstered', 'holster']","['holst', 'holst']","['holster', 'holster']"
holt,"['holts', 'holt']","['holt', 'holt']","['holt', 'holt']"
holti,['holty'],['hol'],['holti']
holyok,['holyoke'],['holyok'],['holyok']
holyston,['holystones'],['holyston'],['holyston']
holzman,['holzman'],['holzm'],['holzman']
homag,['homage'],['hom'],['homag']
home,"['home', 'homing', 'homes', 'homely']","['hom', 'hom', 'hom', 'hom']","['home', 'home', 'home', 'home']"
homebound,['homebound'],['homebound'],['homebound']
homebuild,"['homebuilding', 'homebuilders']","['homebuild', 'homebuild']","['homebuild', 'homebuild']"
homecom,"['homecoming', 'homecomings']","['homecom', 'homecom']","['homecom', 'homecom']"
homefolk,['homefolk'],['homefolk'],['homefolk']
homeland,['homeland'],['homeland'],['homeland']
homemad,['homemade'],['homemad'],['homemad']
homemak,"['homemaker', 'homemakers']","['homemak', 'homemak']","['homemak', 'homemak']"
homemast,['homemaster'],['homemast'],['homemast']
homeown,['homeowners'],['homeown'],['homeown']
homer,"['homeric', 'homer', 'homers']","['hom', 'hom', 'hom']","['homer', 'homer', 'homer']"
homerist,['homerists'],['hom'],['homerist']
homerun,['homerun'],['homerun'],['homerun']
homesick,"['homesick', 'homesickness']","['homesick', 'homesick']","['homesick', 'homesick']"
homestead,"['homestead', 'homesteads', 'homesteaders']","['homestead', 'homestead', 'homestead']","['homestead', 'homestead', 'homestead']"
homeward,"['homeward', 'homewards']","['homeward', 'homeward']","['homeward', 'homeward']"
homicid,"['homicide', 'homicidal']","['homicid', 'homicid']","['homicid', 'homicid']"
homo,['homo'],['homo'],['homo']
homogen,"['homogenate', 'homogenize', 'homogenization', 'homogeneous', 'homogeneously', 'homogeneity']","['homog', 'homog', 'homog', 'homog', 'homog', 'homog']","['homogen', 'homogen', 'homogen', 'homogen', 'homogen', 'homogen']"
homopolym,['homopolymers'],['homopolym'],['homopolym']
homosexu,"['homosexual', 'homosexuals']","['homosex', 'homosex']","['homosexu', 'homosexu']"
homozyg,['homozygous'],['homozyg'],['homozyg']
hon,['hon'],['hon'],['hon']
honan,['honan'],['hon'],['honan']
honbl,['honble'],['honbl'],['honbl']
hondo,['hondo'],['hondo'],['hondo']
hone,['hone'],['hon'],['hone']
honest,['honest'],['honest'],['honest']
honesti,['honesty'],['honesty'],['honesti']
honestli,['honestly'],['honest'],['honest']
honey,['honey'],['honey'],['honey']
honeybe,"['honeybee', 'honeybees']","['honeyb', 'honeyb']","['honeybe', 'honeybe']"
honeycomb,['honeycombed'],['honeycomb'],['honeycomb']
honeymoon,"['honeymooned', 'honeymooning', 'honeymoon', 'honeymooners']","['honeymoon', 'honeymoon', 'honeymoon', 'honeymoon']","['honeymoon', 'honeymoon', 'honeymoon', 'honeymoon']"
honeysuckl,['honeysuckle'],['honeysuckl'],['honeysuckl']
hong,['hong'],['hong'],['hong']
honki,['honky'],['honky'],['honki']
honkytonk,['honkytonks'],['honkytonk'],['honkytonk']
honolulu,['honolulu'],['honolulu'],['honolulu']
honor,"['honored', 'honorable', 'honore', 'honoring', 'honor', 'honors', 'honorably']","['hon', 'hon', 'hon', 'hon', 'hon', 'hon', 'hon']","['honor', 'honor', 'honor', 'honor', 'honor', 'honor', 'honor']"
honorari,['honorary'],['hon'],['honorari']
honore,['honoree'],['hon'],['honore']
honotassa,['honotassa'],['honotass'],['honotassa']
honour,"['honoured', 'honour']","['hono', 'hono']","['honour', 'honour']"
honshu,['honshu'],['honshu'],['honshu']
hoo,['hoo'],['hoo'],['hoo']
hooch,['hooch'],['hooch'],['hooch']
hood,"['hood', 'hoods']","['hood', 'hood']","['hood', 'hood']"
hoodlum,"['hoodlum', 'hoodlums']","['hoodl', 'hoodlum']","['hoodlum', 'hoodlum']"
hoof,"['hoof', 'hoofs']","['hoof', 'hoof']","['hoof', 'hoof']"
hoofmark,['hoofmarks'],['hoofmark'],['hoofmark']
hooghli,['hooghli'],['hooghl'],['hoogh']
hoogli,['hoogli'],['hoogl'],['hoog']
hook,"['hooked', 'hooking', 'hook', 'hooks']","['hook', 'hook', 'hook', 'hook']","['hook', 'hook', 'hook', 'hook']"
hooker,['hookers'],['hook'],['hooker']
hookup,"['hookup', 'hookups']","['hookup', 'hookup']","['hookup', 'hookup']"
hookworm,['hookworm'],['hookworm'],['hookworm']
hooligan,['hooliganism'],['hoolig'],['hooligan']
hoop,"['hoop', 'hoops']","['hoop', 'hoop']","['hoop', 'hoop']"
hooper,['hooper'],['hoop'],['hooper']
hoopla,['hoopla'],['hoopl'],['hoopla']
hooray,['hooray'],['hooray'],['hooray']
hoosegow,"['hoosegows', 'hoosegow']","['hoosegow', 'hoosegow']","['hoosegow', 'hoosegow']"
hoosier,['hoosier'],['hoosy'],['hoosier']
hoot,"['hooted', 'hooting', 'hoots', 'hoot']","['hoot', 'hoot', 'hoot', 'hoot']","['hoot', 'hoot', 'hoot', 'hoot']"
hoov,['hooves'],['hoov'],['hoov']
